,country,population,article_name,revision_id,article_quality
0,Afghanistan,32247000,Template:Afghanistan-politician-stub,394580295,Stub
1,Afghanistan,32247000,Template:Afghanistan-mayor-stub,443496992,Stub
2,Afghanistan,32247000,Template:Afghanistan-diplomat-stub,540459929,Stub
3,Afghanistan,32247000,Daud Arsala,627547024,Stub
4,Afghanistan,32247000,Murad Quenili,670462475,Stub
5,Afghanistan,32247000,Badar,671455150,Stub
6,Afghanistan,32247000,Mohammed Qalamuddin,671473289,Stub
7,Afghanistan,32247000,Faizanullah Faizan,703507854,Stub
8,Afghanistan,32247000,Mohammad Fahim Dashty,706112927,Stub
9,Afghanistan,32247000,Aamir Latif,708476182,Stub
10,Afghanistan,32247000,Mohammed Islam Mohammadi,709439380,Stub
11,Afghanistan,32247000,Musa Hotak,710004254,Stub
12,Afghanistan,32247000,Naqibullah Orya Khail,710066519,Start
13,Afghanistan,32247000,Hazrat-U-Din,710715953,Stub
14,Afghanistan,32247000,Qari Ziauddin,712832121,Start
15,Afghanistan,32247000,Mohammad Siddiq Chakari,713113246,Stub
16,Afghanistan,32247000,Sayed Abdul Karim Hashimi,715179680,Stub
17,Afghanistan,32247000,Mohammad Nabi Safi,715926834,Stub
18,Afghanistan,32247000,Shah Mahmood Safi,715926905,Stub
19,Afghanistan,32247000,Zefnoon Safai,716814855,Stub
20,Afghanistan,32247000,Abdul Zahir (Konar Education Minister),717252806,Stub
21,Afghanistan,32247000,Mohammad Daud Miraki,717365624,Start
22,Afghanistan,32247000,Osman Osmani,717366122,Stub
23,Afghanistan,32247000,Shahnaz Himmeti,717624594,Stub
24,Afghanistan,32247000,Zahera Ahmadyar Mawlayee,717733887,Stub
25,Afghanistan,32247000,Malali Ishaqzai,717743144,Stub
26,Afghanistan,32247000,Mohammad Hashem Taufiqui,717921766,Start
27,Afghanistan,32247000,Khalid Farooqi,718002836,Stub
28,Afghanistan,32247000,Muhammad Hashim Esmatullahi,718019701,Stub
